[marke] ['backwaren'] <- KATHI | Knusper-Häppchen
[marke] ['schokolade'] <- Ritter Sport Bunte Vielfalt | 100 g
[marke] ['schokolade'] <- STORCK Toffifee | je 125 g
[marke] ['schokolade'] <- STORCK | Riesen
[marke] ['schokolade'] <- Super Dickmann’s | 250-g-Packung
[marke] ['schokolade'] <- WRIGLEY'S | Extra
[marke] ['schokolade'] <- Yogurette | 100-g-Packung
[marke] ['soßen'] <- Chovi Allioli | versch. Sorten, je 150-ml-Becher (1 l = 13,27 €)
[marke] ['soßen'] <- GUSTAVO GUSTO Quattro Formaggi* | je 430 g
[marke] ['soßen'] <- Golßener Spreewälder Kartoffelsalat | 700 g
[marke] ['soßen'] <- KNORR Suppenliebe* | je 1 l
[marke] ['soßen'] <- KNORR | Fix
[marke] ['soßen'] <- KNORR | Fix
[marke] ['soßen'] <- MIRACEL WHIP | Salatcreme
[marke] ['soßen'] <- Maggi Magic Asia Saucy Noodles Teriyaki | je 75-g-Becher (1 kg = 13,20 €)
[marke] ['soßen'] <- ORTO MIO Antipasticreme Aioli | je 150 g
[marke] ['soßen'] <- ORTO MIO Antipasticreme Bärlauch | je 150 g
[marke] ['soßen'] <- ORTO MIO Antipasticreme Guacamole | je 150 g
[marke] ['soßen'] <- Popp Feinster Fleischsalat | versch. Sorten, je 200-g-Becher (1 kg = 6,45 €)
[marke] ['soßen'] <- SCHLICHTING Krautsalat* | je 300 g
[marke] ['spirituosen'] <- Bacardi Carta Blanca | 0,7 l
[marke] ['spirituosen'] <- Bacardi Razz | 0,7 l
[marke] ['spirituosen'] <- Bacardí | 0,7-L-Flasche
[marke] ['spirituosen'] <- Baileys Irish Cream Cakes | 390 g
[marke] ['spirituosen'] <- WILTHENER | Goldkrone
[marke] ['spirituosen'] <- Wilthener Gebirgskräuter | 0,7 l
[marke] ['tee'] <- TEEKANNE Frio | je 45 g
[marke] ['tiefkühlgemüse'] <- GREENLAND Beerenmischung | je 750 g
[marke] ['tiefkühlgemüse'] <- IGLO | Gartenerbsen
[marke] ['tiefkühlgemüse'] <- Iglo 13 Backfischstäbchen | tiefgefroren, je 364-g-Pckg.
[marke] ['tofu'] <- Garden Gourmet Sensational Burger | 2 Stück, je 226-g-Pckg. (1 kg = 11,02 €)
[marke] ['wasser'] <- ADELHOLZENER Active O2 oder Active Fresh* | je 0,75 l
[marke] ['wasser'] <- VOLVIC | Juicy
[marke] ['wasser'] <- VOLVIC | Naturelle
[marke] ['wasser'] <- VOLVIC | Naturelle
[marke] ['wasser'] <- Volvic Touch Spritzig Zero | 0,33 l
[marke] ['wasser'] <- Vöslauer Nearwater | 1 l
[marke] ['wein'] <- GERSTACKER | Lil'Berry
[marke] ['wein'] <- Grand Sud Vin de France | versch. Sorten, trocken, je 1-l-Fl.
[marke] ['wein'] <- Rötkäppchen Secconade | versch. Sorten, je 0,33-l-Fl. (1 l = 5,12 €)
[marke] ['windeln/hygiene'] <- ALWAYS | Discreet
[marke] ['windeln/hygiene'] <- ALWAYS | Slipeinlagen Big-Pack
[marke] ['windeln/hygiene'] <- Carefree Slipeinlagen | 40 Stück – 56 Stück
[marke] ['windeln/hygiene'] <- Nivea Roll-on | 50 ml
[marke] ['windeln/hygiene'] <- SOFTLAN ULTRA | Weichspüler
[marke] ['windeln/hygiene'] <- SOFTLAN ULTRA | Weichspüler
[marke] ['windeln/hygiene'] <- Sagrotan Hygienespüler | 3 l
[marke] ['windeln/hygiene'] <- Sagrotan Seife No Touch Nachfüller | 250 ml
[marke] ['wurst'] <- Bifi Roll Original | je 3 x 45-g-Pckg. (1 kg = 14,74 €)
[marke] ['wurst'] <- Dreistern Truthahn-Schlemmerfleisch | je 300-g-Pckg. (1 kg = 14,97 €)
[marke] ['wurst'] <- REINERT | Bärchen-Wurstspezialität
[marke] ['wurst'] <- REINERT | Chambelle
[marke] ['wurst'] <- Reinert Geflügel Nuggetz | je 120-g-Pckg. (1 kg = 16,58 €)
[marke] ['wurst'] <- Wilhelm Brandenburg Tyrolini | versch. Sorten, je 90-g-Pckg. (1 kg = 22,11 €)
[wb] ['avocado'] <- BEST MOMENTS Avocado | je Stück
[wb] ['backwaren'] <- Buttercroissant | 3 Stück
[wb] ['backwaren'] <- BÄCKERKRÖNUNG Das süße Nuss-Nugat- Creme-Croissant | je 2 Stück
[wb] ['backwaren'] <- Börekstick
[wb] ['backwaren'] <- Coppenrath & Wiese Kuchen Vielfalt | 700 g – 810 g
[wb] ['backwaren'] <- Crumble Muffins* | je 180 g
[wb] ['backwaren'] <- DR. OETKER | Kuchenbackmischung Klassiker
[wb] ['backwaren'] <- Donut »Bueno«
[wb] ['backwaren'] <- EXQUISA | Käsekuchen-Snack
[wb] ['backwaren'] <- Eisgebäck | Packung
[wb] ['backwaren'] <- Grillciabatta | Stück
[wb] ['backwaren'] <- K-CLASSIC | Frischer Blätterteig
[wb] ['backwaren'] <- K-CLASSIC | Gefüllte Croissants
[wb] ['backwaren'] <- K-CLASSIC | Haselnuss-Törtchen
[wb] ['backwaren'] <- Kathi Backmischung für Hefe- oder Streuselteig | 400 g – 420 g
[wb] ['backwaren'] <- Kirschtasche | Stück
[wb] ['backwaren'] <- Kleine Rührkuchen | 140-g-Packung
[wb] ['backwaren'] <- LERO FOOD Pfannkuchen* | je 450 g
[wb] ['backwaren'] <- Laugenbrezel
[wb] ['backwaren'] <- Original Wagner Flammkuchen Elsässer Art | tiefgefroren, je 300-g-Pckg. (1 kg = 6,63 €)
[wb] ['backwaren'] <- PENNY READY Frischer Blätterteig | je 275 g
[wb] ['backwaren'] <- Pierre Schmidt gefülltes Croissant | 300 g
[wb] ['backwaren'] <- Quarkbällchen
[wb] ['backwaren'] <- Schweizer Weckli
[wb] ['backwaren'] <- Spritzring | Stück
[wb] ['backwaren'] <- St. Michel Madeleines | 175 g
[wb] ['backwaren'] <- TILLY Kaffeekuchen* | je 400 g
[wb] ['backwaren'] <- Tante Fanny Flammkuchenböden | 340 g
[wb] ['backwaren'] <- Wagner Flammkuchen Elsässer Art | 300 g
[wb] ['bananen'] <- Bananen-Kirsch-Getränk | 1-L-Packung
[wb] ['bananen'] <- Bio Bananen | 1 kg
[wb] ['beeren'] <- Erdbeeren | 500 g
[wb] ['beeren'] <- Erdbeeren | Kl. I, je 250-g-Schale (1 kg = 9,96 €)
[wb] ['beeren'] <- GREENLAND Erdbeeren | je 750 g
[wb] ['beeren'] <- GREENLAND Heidelbeeren | je 500 g
[wb] ['beeren'] <- Heidelbeeren | 500 g Schale
[wb] ['beeren'] <- Heidelbeeren | Kl. I, je 200-g-Schale (1 kg = 9,95 €)
[wb] ['beeren'] <- Heidelbeeren | je 500-g-Schale
[wb] ['beeren'] <- Himbeeren | Kl. I, je 125-g-Schale (1 kg = 15,92 €)
[wb] ['beeren'] <- K-CLASSIC | Kanad. Waldheidelbeeren
[wb] ['beeren'] <- Rote Johannisbeeren | Kl. I, je 1-z.B. (1 kg = 5,98 €)
[wb] ['bier'] <- ANHEUSER-BUSCH | Bud Lagerbier
[wb] ['bier'] <- BECK'S | Pils oder Gold
[wb] ['bier'] <- BECK'S | Pils oder Gold
[wb] ['bier'] <- Beck’s Pils | versch. Sorten, je 20 x 0,5-l-Fl.-Kasten (1 l = 1,15 €), zzgl. 3,10 € Pfand
[wb] ['bier'] <- CARLSBERG | Premium Lager Beer
[wb] ['bier'] <- Eibauer Schwarzbier oder Lausitzer Dunkel | 20 x 0,5 l
[wb] ['bier'] <- Estrella Damm | spanisches Lagerbier, je 6 x 0,33-l-Fl.-Sixpack (1 l = 2,52 €), zzgl. 0,48 € Pfand
[wb] ['bier'] <- FELDSCHLÖSSCHEN | Bier oder Biermischgetränk
[wb] ['bier'] <- FELDSCHLÖßCHEN Radler* | je 0,5 l
[wb] ['bier'] <- FRANZISKANER | Premium-Weißbier
[wb] ['bier'] <- Feldschlößchen Naturtrübes Radler | 20 x 0,5 l
[wb] ['bier'] <- HASSERÖDER Premium Pils | je 20 x 0,5 l
[wb] ['bier'] <- Hasseröder Premium Pils | 20 x 0,5 l
[wb] ['bier'] <- Kloster Scheyern Klostergold | je 20 x 0,5-l-Fl.-Kasten (1 l = 1,40 €), zzgl. 3,10 € Pfand
[wb] ['bier'] <- Köstritzer Schwarzbier | je 20 x 0,5-l-Fl.-Kasten (1 l = 1,40 €), zzgl. 3,10 € Pfand
[wb] ['bier'] <- LÜBZER Pils | je 20 x 0,5 l
[wb] ['bier'] <- Oettinger Pils oder Export | je 20 x 0,5-l-Fl.-Kasten (1 l = 0,70 €), zzgl. 3,10 € Pfand
[wb] ['bier'] <- Pilsener | 4x0,5-L-Dose
[wb] ['bier'] <- Schöfferhofer Weizen | versch. Sorten, je 6 x 0,33-l-Fl.-Sixpack (1 l = 2,02 €), zzgl. 0,48 € Pfand
[wb] ['bier'] <- VELTINS | Pilsener
[wb] ['bier'] <- Veltins Pilsener | versch. Sorten, teilw. koffeinhaltig, je 0,5-l-Dose (1 l = 1,58 €), zzgl. 0,25 € Pfand
[wb] ['bratwurst', 'wurst'] <- BUD SPENCER | Bratwurst
[wb] ['bratwurst', 'wurst'] <- Bratwurst | 800 g
[wb] ['bratwurst', 'wurst'] <- K-PURLAND WERTSCHÄTZE | Rostbratwurst
[wb] ['bratwurst', 'wurst'] <- Kalbs-Bratwurst XXL | 600-g-Packung
[wb] ['bratwurst', 'wurst'] <- Meister Rostbratwurst | fein oder mittelgrob, je 100-g-
[wb] ['bratwurst', 'wurst'] <- Original Thüringer Rostbratwurst | 400 g
[wb] ['bratwurst', 'wurst'] <- Thüringer Rostbratwurst XXL | 1-kg-Packung
[wb] ['bratwurst', 'wurst'] <- WILLMS Frische Rinderbratwurst Bosporus | je 300-g-Packung
[wb] ['bratwurst', 'wurst'] <- Wolf Orig. Thüringer Rostbratwurst | roh, je 450-g-Pckg. (1 kg = 8,87 €)
[wb] ['bratwurst'] <- Geflügel-Rostbratwürste | 250-g-Packung
[wb] ['bratwurst'] <- Nürnberger Rostbratwürste | 250 g – 300 g
[wb] ['brokkoli'] <- Bio-Rote Bete | 500 g
[wb] ['brokkoli'] <- Chicorée | Kl. I, je 500-g-Pckg. (1 kg = 3,38 €)
[wb] ['brokkoli'] <- Chinakohl | 1 kg
[wb] ['brokkoli'] <- Deutscher Kohlrabi* | je Stück
[wb] ['brokkoli'] <- Frischer Zuckermais | je 2-Stück-Packung
[wb] ['brokkoli'] <- Ingwerstücke | 200-g-Packung
[wb] ['brokkoli'] <- K-CLASSIC | Rote Bete
[wb] ['brokkoli'] <- Porree | Kl. II, je 1-St.
[wb] ['brokkoli'] <- Radieschen | Bund
[wb] ['brot', 'knäckebrot'] <- Leicht & Cross Knusperbrot | versch. Sorten, je 125-g-Pckg. (1 kg = 7,92 €)
[wb] ['brot', 'knäckebrot'] <- Wasa Knäckebrot | 200 g – 275 g
[wb] ['brot', 'margarine'] <- RAMA Brot­aufstrich | je 400 g
[wb] ['brot', 'müsli'] <- Kartoffelbrot | Weizenmischbrot mit Kartoffelflocken, je 750-g-St. (1 kg = 2,25 €)
[wb] ['brot', 'pizza'] <- K-CLASSIC | Pizza-Brötchen
[wb] ['brot'] <- ABC-Brot | 125-g-Packung
[wb] ['brot'] <- BÄCKERKRÖNUNG Das knusprig-frische Weizenbrötchen | je 6 Stück
[wb] ['brot'] <- Dr. Oetker Bistro Baguettes | 250 g
[wb] ['brot'] <- FLAME BAKED | Pita-Brot
[wb] ['brot'] <- HARRY | 1688 Steinofenbrot
[wb] ['brot'] <- Kürbiskernbrot | 750 g
[wb] ['brot'] <- Leimer Croutons | versch. Sorten, je 100-g-Pckg. (1 kg = 9,90 €)
[wb] ['brot'] <- MEGGLE | Baguette
[wb] ['brot'] <- Naan-Brot | 260-g-Packung
[wb] ['brot'] <- ORIGNAL WAGNER | Rustipani ofenbrot oder AirFryer Snack
[wb] ['brot'] <- PENNY READY Baguette | je 175 g
[wb] ['brot'] <- Sauerteigbrötchen
[wb] ['brot'] <- Wartburger Thüringer Doppelbrötchen | 340 g
[wb] ['brot'] <- Weizenmischbrot
[wb] ['butter', 'gewürze'] <- MEGGLE | Kräuter-Butter
[wb] ['butter', 'margarine'] <- RAMA | Mit Butter
[wb] ['butter', 'schwein', 'fisch'] <- Schweinefilet-Spieß | Kräuterbutter-Art, je 100-g-
[wb] ['butter'] <- Butter Karamellwaffeln | 400 g
[wb] ['butter'] <- Butter | 250-g-Packung
[wb] ['butter'] <- Kerrygold Kräuterbutter | je 4 x 20-g-Pckg. (1 kg = 24,88 €)
[wb] ['butter'] <- Kerrygold Original Irische Butter | je 250-g-Pckg. (1 kg = 7,96 €)
[wb] ['butter'] <- Landliebe Butter oder Streichzart | 250 g
[wb] ['chips'] <- Chio Tortillas Nacho Cheese | je 110-g-Btl. (1 kg = 10,82 €)
[wb] ['chips'] <- DORITOS | Tortilla-Chips
[wb] ['chips'] <- K-CLASSIC | Flips
[wb] ['chips'] <- K-CLASSIC | Knusprige Kartoffelringe
[wb] ['chips'] <- Kessel-Chips | 150-g-Beutel
[wb] ['chips'] <- Krupuk | 100-g-Beutel
[wb] ['chips'] <- LORENZ | Crunchips
[wb] ['chips'] <- LORENZ | Crunchips
[wb] ['chips'] <- Lorenz Saltletts Pausen Cracker | je 100-g-Btl. (1 kg = 15,90 €)
[wb] ['chips'] <- NESTLÉ | Choco Crossies Original oder Choclait Chips
[wb] ['chips'] <- Wurzener Cheese Balls | 150 g
[wb] ['eintopf'] <- Feinschmeckersuppe | Packung
[wb] ['eintopf'] <- Ramensuppe | 430-g-Packung
[wb] ['eis'] <- Ben&Jerry‘s Eisbecher | 465 ml
[wb] ['eis'] <- Eis | Packung
[wb] ['eis'] <- Hexenbecher Eis | 400 ml
[wb] ['eis'] <- Icesticks | 32x40-ml-Packung
[wb] ['eis'] <- K-CLASSIC | Waffelhörnchen
[wb] ['eis'] <- LINDT Eistafel* | je 100 g
[wb] ['eis'] <- LITTLE MOONS | Mochi Ice Cream
[wb] ['eis'] <- Lotus Biscoff Eis | 80 ml – 90 ml
[wb] ['eis'] <- Mini Squeeze Eis | 420 ml
[wb] ['eis'] <- Mini-Eisfrüchte | 104-g-Packung
[wb] ['eis'] <- Mövenpick Eis | 800 ml – 900 ml
[wb] ['eis'] <- Mövenpick Eis | versch. Sorten, je 850-ml-Pckg. (1 l = 1,75 €)
[wb] ['eis'] <- NUII | Eis
[wb] ['eis'] <- NUII | Eis
[wb] ['eis'] <- Raketeneis | 9x60-ml-Packung
[wb] ['eis'] <- Sour Punch Eis | 320 ml
[wb] ['eis'] <- Stracciatella-Sandwich  | 510-ml-Packung
[wb] ['eis'] <- Waffelhörnchen | Packung
[wb] ['ente'] <- Junge Ente | kg-Preis
[wb] ['ente'] <- Knusperente | 320-g-Packung
[wb] ['essig'] <- Bertolli Aceto Balsamico Spray | 200 ml
[wb] ['essig'] <- KRINI | Essig
[wb] ['essig'] <- KÜHNE | Condimento oder Balsamico
[wb] ['essig'] <- Mazzetti Essig | versch. Sorten, je 500-ml-Fl. (1 l = 5,98 €)
[wb] ['fertiggericht'] <- BEN’S ORIGINAL Fertig­gericht* | je 250 g
[wb] ['fertiggericht'] <- Bürger Maultaschen | traditionell schwäbisch, je 360-g-Btl.
[wb] ['fertiggericht'] <- DOVGAN | Taschki Teigtaschen
[wb] ['fertiggericht'] <- Frühlingsrolle | 230-g-Packung
[wb] ['fertiggericht'] <- Gua Bao | 4x50-g-Packung
[wb] ['fertiggericht'] <- Gyoza | 400-g-Packung
[wb] ['fertiggericht'] <- IGLO | Pfannengericht
[wb] ['fertiggericht'] <- Instant-Wok-Cups | 86-g-Becher
[wb] ['fertiggericht'] <- K-CLASSIC | Reisgericht
[wb] ['fertiggericht'] <- K-GOLD EDITION | Antipasti-Variation
[wb] ['fertiggericht'] <- K-TO GO | Wrap mit Füllung, versch. Sorten
[wb] ['fertiggericht'] <- NAMDONG Beef Jjigae Becher* | je 83 g
[wb] ['fertiggericht'] <- Onigiri | 100-g-Packung
[wb] ['fertiggericht'] <- PENNY READY Onigiri | je 100 g
[wb] ['fertiggericht'] <- PENNY READY Tortelloni | je 400 g
[wb] ['fertiggericht'] <- PENNY READY Wrap | je 190 g
[wb] ['fertiggericht'] <- Reisnudelgericht | 132-g-Packung
[wb] ['fertiggericht'] <- SAN FABIO Fertiggericht | je 400 g
[wb] ['fertiggericht'] <- Satori Mini-Frühlingsrollen oder Frühlingsrollen | 400 g
[wb] ['fertiggericht'] <- Udon-Nudel-Bowl | 249-g-Becher
[wb] ['fertiggericht'] <- YOUCOOK | Fertiggericht
